name,boat,event,gender,time,type,finish,level,venue,month,day,year,certified,notes,venue.long,race.name
Miles Cross-Whiter,K1,1000,Men,252.69,heat,5th,NA,OHR 2013,9,15,2013,yes,NA,NA,NA
Miles Cross-Whiter,K1,1000,Men,247.252,semis,8th,NA,OHR 2013,9,15,2013,yes,NA,NA,NA
Miles Cross-Whiter; Jonathan Espinosa,K2,200,Men,38.413,final B,3rd,NA,OHR 2013,9,15,2013,yes,NA,NA,NA
Miles Cross-Whiter; Jonathan Espinosa,K2,200,Men,38.057,heat,3rd,NA,OHR 2013,9,15,2013,yes,NA,NA,NA
Miles Cross-Whiter; Jonathan Espinosa,K2,200,Men,38.337,semis,4th,NA,OHR 2013,9,15,2013,yes,NA,NA,NA
