"name","boat","event","gender","time","type","finish","level","venue","month","day","year","certified","notes","venue.long","race.name"
"Greg Barton","K1",1000,"Men",222.26,"Heat","1","Senior","Olympics 1988",8,7,1988,"yes","NA","NA","NA"
"Greg Barton","K1",1000,"Men",220.96,"Semis","1","Senior","Olympics 1988",8,7,1988,"yes","NA","NA","NA"
"Greg Barton","K1",1000,"Men",235.27,"Final","1","Senior","Olympics 1988",8,7,1988,"yes","NA","NA","NA"
"Greg Barton; Norm Bellingham","K2",1000,"Men",200.5,"Heat","2","Senior","Olympics 1988",8,7,1988,"yes","NA","NA","NA"
"Greg Barton; Norm Bellingham","K2",1000,"Men",205.36,"Semis","1","Senior","Olympics 1988",8,7,1988,"yes","NA","NA","NA"
"Greg Barton; Norm Bellingham","K2",1000,"Men",212.42,"Final","1","Senior","Olympics 1988",8,7,1988,"yes","NA","NA","NA"
"Terry Kent; Terry White","K2",500,"Men",94.69,"Heat","3","Senior","Olympics 1988",8,7,1988,"yes","NA","NA","NA"
"Terry Kent; Terry White","K2",500,"Men",96.33,"Semis","3","Senior","Olympics 1988",8,7,1988,"yes","NA","NA","NA"
"Terry Kent; Terry White","K2",500,"Men",96.62,"Final","8","Senior","Olympics 1988",8,7,1988,"yes","NA","NA","NA"
