name,age,country,gender,boat,club,,,http://ckc.immediac.com/athletes
Rowan Hardy-Kavanagh,1996,CND,M,,,,,
Ryan Cochrane,1983,CND,M,,,,,
Sabrina Cadoret,2002,CND,F,,,,,
Sacha Skirzyk,2001,CND,,,,,,
Samantha Loutet,2001,CND,F,,,,,
Samantha Morse,2000,CND,F,,,,,
Samantha Stein,2000,CND,F,K,Balmy Beach,,,
Samantha Sula,1999,CND,F,K,Balmy Beach,,,
Sarah Nagy,2001,CND,F,,,,,
Sarah Végas-Dubois,1992,CND,F,,,,,
Sawyer Capes,2000,CND,,,,,,
Scott Patterson,1999,CND,M,,,,,
Seren Hampshire,2001,CND,,,,,,
Shannon Myles,1998,CND,F,,,,,
Simon Chambers Crease,1998,CND,M,,,,,
Simon Coallier-Morissette,1998,CND,M,,,,,
Sloan MacKenzie,2002,CND,,,,,,
Somer MacEachern,2000,CND,,,,,,
Sophia Jensen,2001,CND,F,,,,,
Spencer Robinson,2000,CND,M,,,,,
Stanley Netherton,2001,CND,M,,,,,
Stefan Samoila,1975,CND,M,Para,Balmy Beach,,,
Stella Duncan,2002,CND,F,,,,,
Stephane Richard,2000,CND,,,,,,
Stephen Frodsham,1995,CND,,,,,,
Thomas Côté,1999,CND,M,,,,,
Thomas Hall,1995,CND,M,,,,,
Thomas Paquette,1999,CND,M,,,,,
Thomas Royal,2000,CND,M,,,,,
Tiffany Yau,2000,CND,F,,,,,
Toshka Besharah,2002,CND,,,,,,
Trinity Tratch,1998,CND,,,,,,
Tyler Laidlaw,2000,CND,M,,,,,
Vadim Covalciuc,2000,CND,M,,,,,
Victor Desaulniers,1997,CND,M,,,,,
Vincent Jourdenais,1997,CND,M,,,,,
Vincent Tremblay-Cadotte,1999,CND,M,,,,,
William Mann,1999,CND,M,,,,,
William Miller,2001,CND,M,,,,,
Xavier LeVasseur,2002,CND,M,,,,,
Ydris Hunter,2001,CND,M,,,,,
Yves Bourque,1966,CND,,,,,,
Zacharie Lauziere-Fitzgerald,1998,CND,M,,,,,
Zane Clarke,1996,CND,M,,,,,
