2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:00,,,,,,,,,,
"Race #126, Event #201: Senior Men 200m K1 Heat 1",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 13:04,,,,,,,,,,
"Race #180, Event #201: Senior Men 200m K1 Final B",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Mullican, Aaron",LCKC,00:40.0,1,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"House, William",LCKC,00:40.4,2,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Lishchuk, Jesse",Keystone,00:41.1,3,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"Barlow, Sean",SDCKT,00:42.0,4,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,"Kaleoaloha, Kaleikoa",HCKT,00:42.5,5,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Panchenko, Oleg",ROCK,00:43.4,6,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,"Mechini, Ryan",Keystone,00:43.7,7,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
9,"Cacatian, Leonardo",WCC,00:50.0,8,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Burdiak, Tim",SDCKT,,DNF,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 13:08,,,,,,,,,,
"Race #181, Event #202: Senior Men 200m C2 Final",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Ross, Ian",LCKC,00:41.6,1,9,,,,,,
,"Hefner, Ben",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Podloch, David",WCC,00:42.3,2,7,,,,,,
,"Ross, Gavin",WCC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"Simon, Wandy",UPCKC,00:42.6,3,5,,,,,,
,"Naranjo, Amniel D.",UPCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"North, Erik",Gig Harbor,00:44.1,4,3,,,,,,
,"Tieman, Hayden",Gig Harbor,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Field, Andrew",Gig Harbor,00:45.0,5,2,,,,,,
,"Kasperbauer, Kenny",Gig Harbor,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
