name,age,club,boat,gender,country,type
Martin Fuksa,1993,C,M,CZE,Elite
Mark Oldershaw,1983,C,M,CAN, Elite
Max Lemke,1996,,K,M,GER,Elite
Josef Dostál,1993,,K,M,CZE,Elite
Sebastian Brendel,1988,C,M,GER,Elite
Lisa Carrington,1989,K,F,NZL,Elite
Tamás Kiss,1987,C,M,HUN,Elite
Anna Koziskova,1986,K,F,CZE,Elite
