"name","age","club","boat","gender","country","type"
"Julia Olszewska",NA,NA,"K","F","POL",NA
"Julia Walczak",NA,NA,"C","F","POL",NA
"Julia Wieczorek",NA,NA,"K","F","POL",NA
"Juraj Tarr",NA,NA,"K","M","SVK",NA
"Karen Roco",NA,NA,"C","F","CHI",NA
"Karolina Naja",NA,NA,"K","F","POL",NA
"Kaspar Sula",NA,NA,"K","M","EST",NA
"Katie Reid",NA,NA,"C","F","GBR",NA
"Katie Vincent",NA,NA,"C","F","CAN",NA
"Kayla De Beer",NA,NA,"K","F","RSA",NA
"Kayla Imrie",NA,NA,"K","F","NZL",NA
"Kenta Chikamura",NA,NA,"K","M","JPN",NA
"Kostja Stroinski",NA,NA,"K","M","GER",NA
"Koyo Niioka",NA,NA,"K","M","JPN",NA
"Kristina Bedec",NA,NA,"K","F","SRB",NA
"Kyrylo Cernomorov",NA,NA,"K","M","UKR",NA
"Lachlan Tame",NA,NA,"K","M","AUS",NA
"Lars Ullvang",NA,NA,"K","M","NOR",NA
"Lasma Liepa",NA,NA,"K","F","TUR",NA
"Laurence Vincent-Lapointe",NA,NA,"C","F","CAN",NA
"Lea Jamelot",NA,NA,"K","F","FRA",NA
"Liam Heath",NA,NA,"K","M","GBR",NA
"Linnea Stensils",NA,NA,"K","F","SWE",NA
"Lisa Bissonnette",NA,NA,"K","F","CAN",NA
"Lisa Carrington",NA,NA,"K","F","NZL",NA
"Liudmyla Luzan",NA,NA,"C","F","UKR",NA
"Lize Broekx",NA,NA,"K","F","BEL",NA
"Longkui Wang",NA,NA,"C","M","CHN",NA
"Lucia Valova",NA,NA,"C","F","SVK",NA
"Lukas Reuschenbach",NA,NA,"K","M","GER",NA
"Luqi Zhang",NA,NA,"C","F","CHN",NA
"Madara Aldina",NA,NA,"K","F","LAT",NA
"Madeline Schmidt",NA,NA,"K","F","CAN",NA
"Magda Stanny",NA,NA,"C","F","POL",NA
"Maksim Piatrou",NA,NA,"C","M","BLR",NA
"Maksym Majchrzak",NA,NA,"K","M","POL",NA
"Malgorzata Pulawska",NA,NA,"K","F","POL",NA
"Manfred Pallinger",NA,NA,"C","M","AUT",NA
"Manon Hostens",NA,NA,"K","F","FRA",NA
"Marcos Abad Sanchez",NA,NA,"K","M","ESP",NA
"Marharyta Makhneva",NA,NA,"K","F","BLR",NA
"Maria Mailliard",NA,NA,"C","F","CHI",NA
"Maria Olarasu",NA,NA,"C","F","MDA",NA
"Maria Virik",NA,NA,"K","F","NOR",NA
"Mariana Petrusova",NA,NA,"K","F","SVK",NA
"Mariia Kichasova-Skoryk",NA,NA,"K","F","UKR",NA
"Marija Dostanic",NA,NA,"K","F","SRB",NA
"Mark Oldershaw",NA,NA,"C","M","CAN",NA
"Marko Dragosavljevic",NA,NA,"K","M","SRB",NA
"Marko Tomicevic",NA,NA,"K","M","SRB",NA
"Marta Walczykiewicz",NA,NA,"K","F","POL",NA
"Martin Fuksa",NA,NA,"C","M","CZE",NA
"Martin Nathell",NA,NA,"K","M","SWE",NA
"Maryna Litvinchuk",NA,NA,"K","F","BLR",NA
"Masato Hashimoto",NA,NA,"C","M","JPN",NA
"Matej Rusnak",NA,NA,"C","M","SVK",NA
"Mateusz Kaminski",NA,NA,"C","M","POL",NA
"Matthew Goble",NA,NA,"K","M","AUS",NA
"Matus Jedinak",NA,NA,"K","M","SVK",NA
"Maxime Beaumont",NA,NA,"K","M","FRA",NA
"Maxime Richard",NA,NA,"K","M","BEL",NA
"Mayvihanet Borges Samon",NA,NA,"C","F","CUB",NA
"Melina Andersson",NA,NA,"K","F","SWE",NA
"Mengdie Yin",NA,NA,"K","F","CHN",NA
"Mia Medved",NA,NA,"K","F","SLO",NA
"Michael Mueller",NA,NA,"C","M","GER",NA
"Michelle Russell",NA,NA,"K","F","CAN",NA
"Mikhail Karpov",NA,NA,"C","M","RUS",NA
"Milenko Zoric",NA,NA,"K","M","SRB",NA
"Milica Starovic",NA,NA,"K","F","SRB",NA
"Miriam Vega",NA,NA,"K","F","ESP",NA
"Momen Mahran",NA,NA,"K","M","EGY",NA
"Morten Graversen",NA,NA,"K","M","DEN",NA
"Murman Malania",NA,NA,"C","M","GEO",NA
"Mykola Ochkur",NA,NA,"K","M","UKR",NA
"Namita Chandel",NA,NA,"C","F","IND",NA
"Nan Wang",NA,NA,"K","F","CHN",NA
"Natalie Davison",NA,NA,"K","F","CAN",NA
"Netta Malinen",NA,NA,"K","F","FIN",NA
"Netta Malkinson",NA,NA,"K","F","ISR",NA
"Nicole Gapska",NA,NA,"K","F","POL",NA
"Norbert Kuczynski",NA,NA,"K","M","POL",NA
"Oleg Tarnovschi",NA,NA,"C","M","MDA",NA
"Oleh Borovyk",NA,NA,"C","M","UKR",NA
"Oleh Kukharyk",NA,NA,"K","M","UKR",NA
"Oleksandr Syromiatnykov",NA,NA,"K","M","UKR",NA
"Oleksii Koliadych",NA,NA,"C","M","POL",NA
"Olena Tsyhankova",NA,NA,"C","F","UKR",NA
"Olha Krykun",NA,NA,"C","F","UKR",NA
"Otto Sivula",NA,NA,"K","M","FIN",NA
"Pauliina Polet",NA,NA,"K","F","FIN",NA
"Pavel Davidek",NA,NA,"K","M","CZE",NA
"Pavlo Altukhov",NA,NA,"C","M","UKR",NA
"Pawel Kaczmarek",NA,NA,"K","M","POL",NA
"Pengfei Zheng",NA,NA,"C","M","CHN",NA
"Petter Menning",NA,NA,"K","M","SWE",NA
"Pierre-Luc Poulin",NA,NA,"K","M","CAN",NA
"Piotr Mazur",NA,NA,"K","M","POL",NA
"Przemyslaw Korsak",NA,NA,"K","M","POL",NA
"Qiang Li",NA,NA,"C","M","CHN",NA
"Qing Ma",NA,NA,"K","F","CHN",NA
"Quilian Koch",NA,NA,"K","M","FRA",NA
"Radek Slouf",NA,NA,"K","M","CZE",NA
"Rafal Rosolski",NA,NA,"K","M","POL",NA
"Rebeka Simon",NA,NA,"K","F","GBR",NA
"Rene Poulsen",NA,NA,"K","M","DEN",NA
"Roberts Akmens",NA,NA,"K","M","LAT",NA
"Roberts Lagzdins",NA,NA,"C","M","LAT",NA
