"name","age","club","boat","gender","country","type"
"Joona Mäntynen",NA,NA,"K","M","FIN",NA
"Joosep Karlson",NA,NA,"C","M","EST",NA
"Josef Dostál",NA,NA,"K","M","CZE",NA
"Josephine Bulmer",NA,NA,"C","F","AUS",NA
"Jost Zakrajsek",NA,NA,"K","M","SLO",NA
"Julia Lagerstam",NA,NA,"K","F","SWE",NA
"Julija Gutova",NA,NA,"C","F","LAT",NA
"Karim Abdelsamie",NA,NA,"K","M","EGY",NA
"Kaspar Sula",NA,NA,"K","M","EST",NA
"Katie Reid",NA,NA,"C","F","GBR",NA
"Katie Vincent",NA,NA,"C","F","CAN",NA
"Khaoula Sassi",NA,NA,"K","F","TUN",NA
"Kirill Shamshurin",NA,NA,"C","M","RUS",NA
"Kristian Dushev",NA,NA,"K","M","BUL",NA
"Kristina Bedec",NA,NA,"K","F","SRB",NA
"Kseniia Kurach",NA,NA,"C","F","RUS",NA
"Lars Ullvang",NA,NA,"K","M","NOR",NA
"Lasma Liepa",NA,NA,"K","F","TUR",NA
"Laura Skukauska",NA,NA,"K","F","LAT",NA
"Laurence Vincent-Lapointe",NA,NA,"C","F","CAN",NA
"Lea Jamelot",NA,NA,"K","F","FRA",NA
"Linnea Stensils",NA,NA,"K","F","SWE",NA
"Lisa Carrington",NA,NA,"K","F","NZL",NA
"Lisa Jahn",NA,NA,"C","F","GER",NA
"Liudmyla Luzan",NA,NA,"C","F","UKR",NA
"Lizzie Broughton",NA,NA,"K","F","GBR",NA
"Lucia Valova",NA,NA,"C","F","SVK",NA
"Luqi Zhang",NA,NA,"C","F","CHN",NA
"Madara Aldina",NA,NA,"K","F","LAT",NA
"Mafalda Germano",NA,NA,"K","F","POR",NA
"Magda Stanny",NA,NA,"C","F","POL",NA
"Maksim Piatrou",NA,NA,"C","M","BLR",NA
"Manfredi Rizza",NA,NA,"K","M","ITA",NA
"Manuel Campos",NA,NA,"C","M","ESP",NA
"Márcia Aldeias",NA,NA,"K","F","POR",NA
"Marharyta Makhneva",NA,NA,"K","F","BLR",NA
"María Corbera",NA,NA,"C","F","ESP",NA
"María Garro",NA,NA,"K","F","ARG",NA
"María Garro ::",NA,NA,"K","F","ARG",NA
"Maria Mailliard",NA,NA,"C","F","CHI",NA
"Maria Rei",NA,NA,"K","F","POR",NA
"Maria Rei ::",NA,NA,"K","F","POR",NA
"Maria-Lorena Manolica",NA,NA,"K","F","AZE",NA
"Mariami Kerdikashvili",NA,NA,"C","F","GEO",NA
"Marija Dostanic",NA,NA,"K","F","SRB",NA
"Mark Oldershaw",NA,NA,"C","M","CAN",NA
"Marko Dragosavljevic",NA,NA,"K","M","SRB",NA
"Marko Jelkic",NA,NA,"C","M","CRO",NA
"Marta Walczykiewicz",NA,NA,"K","F","POL",NA
"Martin Fuksa",NA,NA,"C","M","CZE",NA
"Martin Nathell",NA,NA,"K","M","SWE",NA
"Maryna Litvinchuk",NA,NA,"K","F","BLR",NA
"Matej Rusnák",NA,NA,"C","M","SVK",NA
"Mateusz Kaminski",NA,NA,"C","M","POL",NA
"Mathew Bowley",NA,NA,"K","M","GBR",NA
"Max Rendschmidt",NA,NA,"K","M","GER",NA
"Maxime Beaumont",NA,NA,"K","M","FRA",NA
"Michelle Russell",NA,NA,"K","F","CAN",NA
"Miika Nykänen",NA,NA,"K","M","FIN",NA
"Mikhail Pavlov",NA,NA,"C","M","RUS",NA
"Mikita Borykau",NA,NA,"K","M","BLR",NA
"Milica Starovic",NA,NA,"K","F","SRB",NA
"Ming Law",NA,NA,"C","F","HKG",NA
"Mirnazim Javadov",NA,NA,"K","M","AZE",NA
"Miroslav Kirchev",NA,NA,"K","M","BUL",NA
"Murray Stewart",NA,NA,"K","M","AUS",NA
"Netta Malinen",NA,NA,"K","F","FIN",NA
"Niklas Vettanen",NA,NA,"K","M","FIN",NA
"Nikolina Mijuskovic",NA,NA,"C","F","SRB",NA
"Nina Krankemann",NA,NA,"K","F","GER",NA
"Oleg Tarnovschi",NA,NA,"C","M","MDA",NA
"Oleh Borovyk",NA,NA,"C","M","UKR",NA
"Oleh Kukharyk",NA,NA,"K","M","UKR",NA
"Oleksandr Syromiatnykov",NA,NA,"K","M","UKR",NA
"Olesia Romasenko",NA,NA,"C","F","RUS",NA
"Ossama Bousserra",NA,NA,"K","M","MAR",NA
"Patricia Coco",NA,NA,"C","F","ESP",NA
"Pauliina Polet",NA,NA,"K","F","FIN",NA
"Pavlo Altukhov",NA,NA,"C","M","UKR",NA
"Pawel Kaczmarek",NA,NA,"K","M","POL",NA
"Petter Menning",NA,NA,"K","M","SWE",NA
"Quaid Thompson",NA,NA,"K","M","NZL",NA
"Rebecca Cole",NA,NA,"K","F","NZL",NA
"Rebeka Simon",NA,NA,"K","F","GBR",NA
"René Poulsen",NA,NA,"K","M","DEN",NA
"Riley Fitzsimmons",NA,NA,"K","M","AUS",NA
"Roberts Lagzdins",NA,NA,"C","M","LAT",NA
"Roi Rodriguez",NA,NA,"K","M","ESP",NA
"Roman Anoshkin",NA,NA,"K","M","RUS",NA
"Rubén Voisard",NA,NA,"K","M","ARG",NA
"Rui Lacerda",NA,NA,"C","M","POR",NA
"Ruta Dagyte",NA,NA,"C","F","LTU",NA
"Ryo Naganuma",NA,NA,"C","M","JPN",NA
"Samuele Burgo",NA,NA,"K","M","ITA",NA
"Sarah Brüssler",NA,NA,"K","F","GER",NA
